Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Conseil 1 (product.metafields.custom.conseil_1),Conseil 2 (product.metafields.custom.conseil_2),Conseil 3 (product.metafields.custom.conseil_3),Question FAQ 1 (product.metafields.custom.question_faq_1),Question FAQ 2 (product.metafields.custom.question_faq_2),Question FAQ 3 (product.metafields.custom.question_faq_3),Question FAQ 4 (product.metafields.custom.question_faq_4),Titre Comment jouer (product.metafields.custom.titre_comment_jouer),Titre FAQ (product.metafields.custom.titre_faq),Growave raw rating (product.metafields.growave.raw_rating_string),Growave rounded rating (product.metafields.growave.rounded_rating_string),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Nombre d’évaluations de produit (product.metafields.reviews.rating_count),Restrictions d’âge (product.metafields.shopify.age-restrictions),Caractéristiques du jeu de société (product.metafields.shopify.board-game-features),Mécanique du jeu de société (product.metafields.shopify.board-game-mechanics),Couleur (product.metafields.shopify.color-pattern),Compétences de dextérité (product.metafields.shopify.dexterity-skills),Type d’événement (product.metafields.shopify.event-type),Caractéristiques de jeu (product.metafields.shopify.game-features),Compétences de jeu (product.metafields.shopify.gameplay-skills),Rareté (product.metafields.shopify.rarity),Tranche d’âge recommandée (product.metafields.shopify.recommended-age-group),Thème (product.metafields.shopify.theme),Matériau du jeu/jouet (product.metafields.shopify.toy-game-material),Emballage de cartes à collectionner (product.metafields.shopify.trading-card-packaging),Produits complémentaires (product.metafields.shopify--discovery--product_recommendation.complementary_products),Produits connexes (product.metafields.shopify--discovery--product_recommendation.related_products),Paramètres des produits connexes (product.metafields.shopify--discovery--product_recommendation.related_products_display),Mises en avant de produits dans la recherche (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
piste-de-des-luxe,Piste De Dés Luxe,"<p><span>Inclut 5 dés, piste en bois et tapis en velours vert de 45cm de diamètre.</span></p>
<p> </p>
<table width=""100%"" style=""height: 19.6px; width: 100.035%;"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;""> 2 à 6 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">20 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">8 ans et +</td>
</tr>
</tbody>
</table>
<!---->",Boutique Loufoque,Toys & Games > Games > Board Games,"","",false,Title,Default Title,,,,,,,,'9001890293993,1500.0,shopify,0,deny,manual,52.90,,true,true,,,,,'9001890293993,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/PistededesLuxe.jpg?v=1738683075,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,extension-disponible,strategie; jeux-de-role; role-cache,rouge; multicolore; beige,,,,,,10-ans-ou-plus; 8-ans-ou-plus,,bois,,,,,,,kg,,,draft
backgammon-mosaique,Coffret Backgammon Bois,"<p>Le classique Backgammon magnifié par un superbe motif mosaïque.</p>
<table style=""height: 19.6px; width: 100.035%;"" width=""100%"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;""> 2 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">20 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">8 ans et +</td>
</tr>
</tbody>
</table>
<!---->",Boutique Loufoque,Toys & Games > Games > Board Games,"","",false,Title,Default Title,,,,,,,,'3700183427065,1500.0,shopify,0,deny,manual,67.50,,true,true,,,,,'3700183427065,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/Backgammon.jpg?v=1738682649,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,extension-disponible,strategie; jeux-de-role; role-cache,rouge; multicolore; beige,,,,,,10-ans-ou-plus; 8-ans-ou-plus,,bois,,,,,,,kg,,,draft
backgammon-mosaique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/Backgammon2.jpg?v=1738682649,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pifo-france,Pifo France,"<p>Sois tu sais, sois tu bluffes !</p>
<p>Partez à la découverte de plus de 110 villes françaises, de Biarritz à Lille en passant par Cognac.<br>En équipe, classez les selon 7 catégories : localisation, pluviométrie, prix au m² ou encore date de naissance d’une personnalité locale.<br>Testez vos connaissances ou bluffez pour l’emporter !<br>Un voyage à travers la France, sans quitter votre salon.</p>
<table style=""height: 19.6px; width: 100.035%;"" width=""100%"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;""> 2 à 12 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">15 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">10 ans et +</td>
</tr>
</tbody>
</table>
<!---->",Boutique Loufoque,Toys & Games > Games > Board Games,"","",false,Title,Default Title,,,,,,,,'3770035153015,400.0,shopify,0,deny,manual,17.90,,true,true,,,,,'3770035153015,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/Pifofrance.png?v=1753019548,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,installation-rapide,questions,rouge,,,,,,10-ans-ou-plus,,papier-carton,,,,,,,kg,,,draft
odin,Odin,"<p>Odin est un jeu de cartes simple mais addictif pour 2 à 6 joueurs.</p>
<p>Débarrassez-vous de toutes vos cartes en premier et accumulez le moins de points possible.</p>
<p>À votre tour, vous pouvez jouer ou passer.</p>
<ul>
<li>Si vous jouez, posez autant de cartes que le joueur précédent ou une de plus, avec une valeur supérieure.</li>
<li>Les cartes posées doivent être de même valeur ou couleur.</li>
<li>Ensuite, prenez une carte sur la table.</li>
<li>Si vous passez, vous ne jouez pas mais pourrez rejouer plus tard.</li>
</ul>
<p>La manche s’arrête quand un joueur pose ses dernières cartes. Il ne marque aucun point, tandis que les autres comptent leurs cartes (1 point chacune). Le joueur ayant le moins de points quand un adversaire atteint 15 points gagne la partie.</p>
<table width=""100%"" style=""height: 19.6px; width: 100.035%;"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;""> 2 à 6 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">15 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">7 ans et +</td>
</tr>
</tbody>
</table>
<!---->",Boutique Loufoque,Toys & Games > Games > Board Games,"","",true,Title,Default Title,,,,,,,,'7640139533388,100.0,shopify,0,deny,manual,11.90,,true,true,,,,,'7640139533388,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/Odin.jpg?v=1738671435,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,extension-disponible,strategie,rouge; multicolore,,,,,,10-ans-ou-plus,,papier-carton,,,,,,,kg,,,active
altered-epreuve-du-froid-booster-fr,Altered - Epreuve Du Froid Booster (FR),"<p>Booster Altered : Epreuve du Froid.</p>
<p>Langue française.</p>
<table style=""height: 19.6px; width: 100.035%;"" width=""100%"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;"">2 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">20 à 30 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">13 ans et +</td>
</tr>
</tbody>
</table>
<!---->",Boutique Loufoque,Toys & Games > Games > Card Games,"","",false,Title,Default Title,,,,,,,,'3760397180903,26.0,shopify,0,deny,manual,3.90,,true,true,,,,,'3760397180903,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/boosteralteredepreuvedufroid.png?v=1747473471,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,echange-de-cartes; strategie,rouge; multicolore,,,,,,10-ans-ou-plus; 13-18-ans,fantaisie,papier-carton,,,,,,,kg,,,draft
altered-epreuve-du-froid-display-fr,Altered - Epreuve Du Froid Display (FR),"<p>Altered : Epreuve du froid - Boîte de 36 boosters.</p>
<p>Langue française.</p>
<table style=""height: 19.6px; width: 100.035%;"" width=""100%"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;"">2 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">20 à 30 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">13 ans et +</td>
</tr>
</tbody>
</table>
<!---->",Boutique Loufoque,Toys & Games > Games > Card Games,"","",false,Title,Default Title,,,,,,,,'3760397180910,1080.0,shopify,0,deny,manual,139.90,,true,true,,,,,'3760397180910,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/altereddisplayepreuvedufroid.png?v=1748633727,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,echange-de-cartes; strategie,rouge; multicolore,,,,,,10-ans-ou-plus; 13-18-ans,fantaisie,papier-carton,,,,,,,kg,,,draft
altered-beyond-the-gates-display-fr,Altered - Beyond The Gates Display (FR),"<p>Display Altered : Beyond The Gates, comprenant 36 boosters.</p>
<p>Langue française.</p>
<table style=""height: 19.6px; width: 100.035%;"" width=""100%"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;"">2 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">20 à 30 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">13 ans et +</td>
</tr>
</tbody>
</table>
<!---->",Boutique Loufoque,Toys & Games > Games > Card Games,"","",false,Title,Default Title,,,,,,,,'3760397180095,1080.0,shopify,0,deny,manual,139.90,,true,true,,,,,'3760397180095,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/altereddisplayaudeladesportes.png?v=1748633728,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,echange-de-cartes; strategie,rouge; multicolore,,,,,,10-ans-ou-plus; 13-18-ans,fantaisie,papier-carton,,,,,,,kg,,,draft
altered-beyond-the-gates-booster-fr,Altered - Au-Delà Des Portes (FR),"<p>Booster Altered : Beyond The Gates</p>
<p>Langue française.</p>
<table style=""height: 19.6px; width: 100.035%;"" width=""100%"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;"">2 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">20 à 30 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">13 ans et +</td>
</tr>
</tbody>
</table>
<!---->",Boutique Loufoque,Toys & Games > Games > Card Games,"","",false,Title,Default Title,,,,,,,,'3760397180033,20.0,shopify,0,deny,manual,3.90,,true,true,,,,,'3760397180033,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/alteredbooster.png?v=1748633754,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,echange-de-cartes; strategie,rouge; multicolore,,,,,,10-ans-ou-plus; 13-18-ans,fantaisie,papier-carton,,,,,,,kg,,,draft
regicide-jeu,Régicide,"<table style=""height: 19.6px; width: 100.035%;"" width=""100%"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;""> 1 à 4 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">5 à 20 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">10 ans et +</td>
</tr>
</tbody>
</table>
<p><!----></p>
<p>Régicide est un <a title=""jeu de cartes coopératif"" href=""https://shop.loufoque.fr/collections/jeux-societe-cooperatifs"">jeu de cartes coopératif</a> et malin !</p>
<p>Unissez vos forces pour renverser la tyrannie incarnée par 12 puissants ennemis. À chaque tour, un joueur joue une carte pour infliger des dégâts, activer des effets spéciaux et tenter de vaincre l’adversaire. Trèfles, piques, cœurs et carreaux apportent chacun des bonus stratégiques, et des combos sont possibles, mais sans communiquer sur sa main !</p>
<p>Une fois la carte jouée, l’ennemi riposte : si les joueurs ne peuvent pas absorber les dégâts, la partie est perdue. D’une simplicité redoutable et pourtant incroyablement tactique, Régicide offre un défi intense et addictif. Idéal pour les amateurs de jeux coopératifs et rapides, il promet des parties de 15 minutes pleines de tension et de rebondissements !</p>
<p><iframe title=""YouTube video player"" src=""https://www.youtube.com/embed/wUKrOgVOOws?si=n211pMwymmBx-Y4L"" height=""315"" width=""560""></iframe></p>",Boutique Loufoque,Toys & Games > Games > Board Games,"","",true,Title,Default Title,,,,,,,,'3701551703071,350.0,shopify,2,deny,manual,11.50,,true,true,,,,,'3701551703071,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/Regicide.png?v=1748633724,1,Régicide,false,Régicide | Jeu coopératif tactique avec 54 cartes,"Régicide : renversez les souverains grâce à stratégie, gestion de main et coopération. Un défi tactique intense avec un simple jeu de 54 cartes.",,,,,,,,,,,,Gérez votre main comme une ressource précieuse,Profitez des combos de couleurs,Anticipez le prochain souverain,Le jeu est-il vraiment difficile ?,Peut-on y jouer en solo ?,Les parties sont-elles variées malgré l’unique paquet ?,Y a-t-il une stratégie dominante ?,Régicide : règles du jeu,FAQ – Tout savoir sur Régicide,,,,,,extension-disponible,strategie,rouge; multicolore,,,,,,10-ans-ou-plus,,papier-carton,,,,,,,kg,,,active
regicide-jeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/regicide2.png?v=1748633725,2,regicide jeu de carte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
le-roi-des-nains,Le Roi Des Nains,"<table style=""height: 19.6px; width: 100.035%;"" width=""100%"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;""> 3 à 5 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">30 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">10 ans et +</td>
</tr>
</tbody>
</table>
<p><!----></p>
<p><meta charset=""UTF-8""><span>Plongez dans une<strong> </strong></span>aventure médiévale fantastique pleine d’humour avec Le Roi des Nains, un jeu de cartes basé sur des mécaniques de plis revisitées par Bruno Faidutti. Dans ce titre original et convivial, chaque partie propose des règles de scoring changeantes<span>, des cartes spéciales malicieuses et une interaction sociale constante entre les joueurs. Accessible dès 10 ans, il est parfait pour des soirées entre amis ou des après‑midis en famille où stratégie, surprises et rebondissements rythment chaque manche.</span></p>
<p><span><iframe title=""YouTube video player"" src=""https://www.youtube.com/embed/oTr8tdloiZg?si=yCYoz71l4ZszUOLJ"" height=""315"" width=""560""></iframe></span></p>",Boutique Loufoque,Toys & Games > Games > Board Games,"","",true,Title,Default Title,,,,,,,,'3760175519000,400.0,shopify,3,deny,manual,15.90,,true,true,,,,,'3760175519000,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/leroidesnanis.jpg?v=1738670535,1,jeu de société le roi des nains ,false,Le Roi des Nains – Jeu de plis stratégique et fun,"Affrontez vos amis dans Le Roi des Nains, un jeu de plis hilarant aux objectifs changeants pour 3‑5 joueurs. Stratégie, surprises et fun garantis !",,,,,,,,,,,,Adaptez‑vous à chaque objectif,Utilisez les cartes spéciales à bon escient,Observez les mains adverses,Ce jeu est‑il un jeu de plis classique ?,Combien de joueurs peuvent y jouer ?,Les règles changent‑elles souvent ?,Ce jeu est‑il adapté aux familles ?,Comment jouer au jeu ?,FAQ – Tout savoir sur Le Roi des Nains,,,,,,extension-disponible,strategie,rouge; multicolore,,,,,,10-ans-ou-plus,,papier-carton,,,,,,,kg,,,active
le-roi-des-nains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/leroidesnains2.png?v=1747473474,2,jeu de société le roi des nains ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top-cap,Top Cap,"<p>Top Cap est un jeu abstrait de déplacement où chaque capsule bouge en fonction du nombre de capsules adjacentes.</p>
<p>Chaque joueur commence avec quatre capsules sur une grille 6x6, avec une bouteille de sa couleur dans son coin.</p>
<p>À son tour, il choisit une capsule et la déplace exactement du nombre de cases correspondant aux capsules voisines, en ligne droite. Il est interdit de quitter le plateau, de sauter ou d’atterrir sur une autre capsule.</p>
<p>Le premier à atteindre la bouteille adverse avec une de ses capsules remporte la partie, tandis qu’un joueur incapable de jouer perd immédiatement.</p>
<table width=""100%"" style=""height: 19.6px; width: 100.035%;"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;"">2 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">15 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">12 ans et +</td>
</tr>
</tbody>
</table>
<!---->",Boutique Loufoque,Toys & Games > Games > Board Games,"","",true,Title,Default Title,,,,,,,,'3770033532218,106.0,shopify,2,deny,manual,10.90,,true,true,,,,,'3770033532218,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/Topcap.jpg?v=1747473478,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,strategie; echange-de-cartes,multicolore,,,,,,10-ans-ou-plus,,papier-carton,,,,,,,kg,,,active
top-cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/topcap2.jpg?v=1747473476,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patchwork,Patchwork - Nouvelle Edition,"<p>Dans Patchwork, deux joueurs s’affrontent pour créer le plus beau patchwork sur un plateau de 9x9 en choisissant judicieusement leurs pièces de tissu.</p>
<p>Il faut gérer son temps et ses boutons pour assembler une couverture harmonieuse et sans trous. Mais attention à ne pas avancer trop vite sur le chrono, sous peine de passer son tour ! Le joueur avec le patchwork le plus complet et esthétique marque un maximum de points.</p>
<p>Cette édition spéciale célèbre les 10 ans de ce grand classique du jeu à deux.</p>
<table width=""100%"" style=""height: 19.6px; width: 100.035%;"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;"">2 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">30 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">8 ans et +</td>
</tr>
</tbody>
</table>
<!---->",Boutique Loufoque,Toys & Games > Games > Board Games,"","",false,Title,Default Title,,,,,,,,'3558380134848,595.0,shopify,0,deny,manual,22.90,,true,true,,,,,'3558380134848,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/patchwork_c736b166-d3d4-4841-9dba-0e70ed8254f2.png?v=1756485259,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,strategie; echange-de-cartes; jeu-par-arrangement,multicolore; damier,,,,reconnaissance-de-formes; reflexion-strategique,,10-ans-ou-plus; 8-ans-ou-plus,,papier-carton,,,,,,,kg,,,draft
patchwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/patchwork2.jpg?v=1754660291,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patchwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/patchwork3.png?v=1756485258,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-vale-of-eternity-artifacts-extension,The Vale Of Eternity - Artifacts (Extension),"<p>Avec l’extension Artifacts, exploitez le pouvoir des objets magiques ! À chaque tour, choisissez un artefact pour débloquer de nouvelles capacités comme l’Accueil ou l’Abri, renforcer vos créatures ou agrandir votre arène.</p>
<p>La piste de score s’étend désormais jusqu’à 80 points, offrant encore plus de défis. De plus, 24 nouvelles créatures légendaires viennent enrichir vos stratégies et multiplier les combos !</p>
<p>Nécessite le jeu de base The Vale Of Eternity.</p>
<table style=""height: 19.6px; width: 100.035%;"" width=""100%"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;""> 2 à 4 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">50 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">10 ans et +</td>
</tr>
</tbody>
</table>
<!---->",Boutique Loufoque,Toys & Games > Games > Board Games,"","",true,Title,Default Title,,,,,,,,'3770033532201,356.0,shopify,0,deny,manual,15.90,,true,true,,,,,'3770033532201,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/valeofeternityartifact.jpg?v=1747473473,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,strategie; simulation-de-guerre,multicolore,,,,,,10-ans-ou-plus,,papier-carton,,,,,,,kg,,,active
the-vale-of-eternity-artifacts-extension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/valeofeternityartifacts2.jpg?v=1747473476,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vale-of-eternity,The Vale Of Eternity,"<p> </p>
<table style=""height: 19.5833px; width: 100.035%;"" width=""100%"">
<tbody>
<tr style=""height: 19.5833px;"">
<td style=""height: 19.5833px; width: 30.704%; text-align: center;""> 2 à 4 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.5833px;"">40 min</td>
<td style=""width: 26.5982%; height: 19.5833px; text-align: center;"">10 ans et +</td>
</tr>
</tbody>
</table>
<p>Dans The Vale of Eternity, vous incarnez un chasseur de créatures mythologiques cherchant à devenir le meilleur dresseur.</p>
<p>La partie se joue en 10 manches ou jusqu’à ce qu’un joueur atteigne 60 points. Chaque manche comporte trois phases : d’abord, les joueurs placent leurs jetons Capture pour réserver des créatures du marché.</p>
<p>Ensuite, ils réalisent des actions comme acheter, vendre ou poser des cartes dans leur arène en respectant la limite du tour. Enfin, toutes les capacités régulières des créatures sont activées. Stratégie et bonnes combinaisons de cartes seront essentielles pour l’emporter !<br><br>Le jeu dispose aussi d'une extension !</p>
<p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/zF93sLFA-as?si=k66UjHaqzEUfgD1S"" title=""YouTube video player"" style=""font-size: 0.875rem;""></iframe></p>",Boutique Loufoque,Toys & Games > Games > Board Games,"","",true,Title,Default Title,,,,,,,,'3770000282986,750.0,shopify,0,deny,manual,26.50,,true,true,,,,,'3770000282986,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/valeofeternity.jpg?v=1747473476,1,Jeu Vale of eternity,false,The Vale of Eternity – Jeu de société stratégique (2-4 joueurs),"Devenez dresseur de créatures mythiques avec The Vale of Eternity : jeu de cartes et gestion pour 2-4 joueurs, parties rapides, stratégies profondes.",,,,,,,,,,,,Optimisez vos choix de capture dès le début,Construisez des combinaisons puissantes,Adaptez-vous aux adversaires et à l’offre,Le jeu privilégie-t-il la chance ou la stratégie ?,Qu’est-ce qui rend chaque partie unique ?,Le jeu est-il adapté pour débutants ?,Combien de joueurs et quelle durée de partie ?,Comment jouer à The Vale Of Eternity ?,FAQ – Tout savoir sur The Vale of Eternity,,,,,,,strategie; simulation-de-guerre,multicolore,,,,,,10-ans-ou-plus,,papier-carton,,,,,,,kg,,,active
vale-of-eternity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/valeofeternity2.jpg?v=1747473475,2,matériel jeu vale of eternity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cachamot,Cachamot,"<p>Vous aimez les jeux de mot ? Cachamot est fait pour vous !</p>
<p>À chaque manche, le joueur Cachamot choisit une carte et inscrit un mot de départ sur l'ardoise. Il pense ensuite à un deuxième mot en lien avec le premier et l’écrit, puis fait de même avec un troisième mot lié au deuxième, qu’il note secrètement.</p>
<p>L’ardoise est alors refermée, ne laissant visibles que le premier mot et les premières lettres des deux suivants. Les autres joueurs tentent de deviner le troisième mot en trouvant d'abord le deuxième.</p>
<p>Si personne ne réussit, une nouvelle lettre est révélée et chacun peut faire une autre proposition. Le premier à deviner le troisième mot gagne 1 point, tandis que le Cachamot en marque un seulement si la réponse est trouvée au deuxième tour. Le but est donc de créer des associations d’idées logiques, mais pas trop évidentes !</p>
<table width=""100%"" style=""height: 19.6px; width: 100.035%;"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;""> 3 à 8 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">20 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">10 ans et +</td>
</tr>
</tbody>
</table>
<!---->",Boutique Loufoque,Toys & Games > Games > Card Games,"","",true,Title,Default Title,,,,,,,,'3770001874241,312.0,shopify,1,deny,manual,13.50,,true,true,,,,,'3770001874241,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/Cachamot.jpg?v=1747473499,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,installation-rapide,educatif; deduction-et-detectives; mots,rouge; multicolore; bleu,,,,,,10-ans-ou-plus,,papier-carton,,,,,,,kg,,,active
cachamot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/Cachamot2.jpg?v=1747473501,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blanc-manger-coco-duo,Blanc Manger Coco - Plaisir A Deux,"<p><span>Blanc Manger Coco est un jeu d’ambiance irrésistiblement décalé où l’humour noir et l’irrévérence sont rois ! Chaque manche, un joueur lit une phrase à trous, et les autres doivent y insérer une carte pour composer la réponse la plus drôle (ou absurde). Parfait pour des soirées entre amis, ce jeu promet des fous rires et des moments inoubliables, à condition d’avoir un second degré bien affûté ! </span>!</p>
<p>Cette version est pensée pour deux joueurs !</p>
<table style=""height: 19.6px; width: 100.035%;"" width=""100%"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;""> 2 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">30 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">16 ans et +</td>
</tr>
</tbody>
</table>
<!---->",Boutique Loufoque,Toys & Games > Games > Card Games,"","",true,Title,Default Title,,,,,,,,'3770010367413,636.0,shopify,2,deny,manual,19.90,,true,true,,,,,'3770010367413,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/blancmangercocoduo.jpg?v=1747473500,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,installation-rapide,questions,rouge; blanc; bleu,,,,dexterite; concentration,,18-ans-ou-plus,,papier-carton,,,,,,,kg,,,active
